Figure 5 data,,WE Area,1.036141239,cm^2,,,,,,,,,,,,,
0.1 V/s,,,0.2 V/s,,,0.3 V/s,,,0.5 V/s,,,0.7 V/s,,,1.0 V/s,,
-0.255585,-0.000479095,-0.462383874,-0.255585,-0.000478518,-0.461827,-0.255585,-0.000976391,-0.942333885,-0.255585,-0.00140533,-1.356311231,-0.255585,-0.00175447,-1.693273015,-0.255585,-0.00257722,-2.487324992
-0.256653,-0.000483261,-0.466404561,-0.256653,-0.000480209,-0.463459017,-0.256653,-0.000983934,-0.949613781,-0.256653,-0.00142212,-1.372515586,-0.256653,-0.00175846,-1.697123841,-0.256653,-0.00259052,-2.50016108
-0.257721,-0.000487187,-0.47019362,-0.257721,-0.000484265,-0.467373541,-0.257721,-0.00099486,-0.960158675,-0.257721,-0.00142951,-1.379647818,-0.257721,-0.00177263,-1.710799583,-0.257721,-0.0025955,-2.504967374
-0.258789,-0.000490913,-0.473789655,-0.258789,-0.000488242,-0.471211821,-0.258789,-0.000998453,-0.963626349,-0.258789,-0.00143359,-1.383585505,-0.258789,-0.00177882,-1.716773672,-0.258789,-0.00260184,-2.511086231
-0.259857,-0.000494519,-0.477269875,-0.259857,-0.000494438,-0.4771917,-0.259857,-0.00100482,-0.969771265,-0.259857,-0.00144431,-1.393931585,-0.259857,-0.00179105,-1.728577082,-0.259857,-0.00261387,-2.522696617
-0.260925,-0.000498409,-0.48102419,-0.260925,-0.000497186,-0.479843849,-0.260925,-0.00102201,-0.986361667,-0.260925,-0.00146315,-1.412114434,-0.260925,-0.00180698,-1.743951434,-0.260925,-0.00263097,-2.539200159
-0.261993,-0.000502418,-0.484893353,-0.261993,-0.000499815,-0.482381147,-0.261993,-0.0010316,-0.995617162,-0.261993,-0.00147428,-1.422856213,-0.261993,-0.00181914,-1.755687285,-0.261993,-0.00264935,-2.556939053
-0.263062,-0.000506406,-0.488742249,-0.263062,-0.0005021,-0.484586445,-0.263062,-0.00103963,-1.00336707,-0.263062,-0.00148063,-1.428984721,-0.263062,-0.00183581,-1.771775826,-0.263062,-0.0026622,-2.569340838
-0.26413,-0.000510393,-0.49259018,-0.26413,-0.000504518,-0.486920104,-0.26413,-0.00105107,-1.014408036,-0.26413,-0.00149039,-1.438404286,-0.26413,-0.00184043,-1.776234677,-0.26413,-0.00268256,-2.588990668
-0.265198,-0.000514266,-0.496328088,-0.265198,-0.000508692,-0.490948512,-0.265198,-0.0010629,-1.025825399,-0.265198,-0.00151016,-1.457484697,-0.265198,-0.00186261,-1.797641025,-0.265198,-0.00269844,-2.604316764
-0.266266,-0.00051809,-0.500018704,-0.266266,-0.000513514,-0.495602318,-0.266266,-0.00106245,-1.025391095,-0.266266,-0.00153278,-1.479315697,-0.266266,-0.00187314,-1.807803732,-0.266266,-0.00271823,-2.623416477
-0.267334,-0.000521741,-0.503542355,-0.267334,-0.000518535,-0.500448182,-0.267334,-0.00106317,-1.026085981,-0.267334,-0.00153907,-1.485386298,-0.267334,-0.00188525,-1.819491328,-0.267334,-0.00273613,-2.640692114
-0.268402,-0.000525192,-0.506872982,-0.268402,-0.000523859,-0.505586478,-0.268402,-0.00106691,-1.029695527,-0.268402,-0.00154399,-1.490134686,-0.268402,-0.00189443,-1.828351124,-0.268402,-0.00275333,-2.657292167
-0.26947,-0.000528945,-0.510495075,-0.26947,-0.000525986,-0.507639287,-0.26947,-0.00107208,-1.034685195,-0.26947,-0.00155762,-1.503289263,-0.26947,-0.00190067,-1.834373469,-0.26947,-0.00277271,-2.675996181
-0.270538,-0.000532736,-0.514153843,-0.270538,-0.000527492,-0.509092757,-0.270538,-0.00107616,-1.038622882,-0.270538,-0.00157158,-1.516762329,-0.270538,-0.00190673,-1.840222093,-0.270538,-0.00279268,-2.695269615
-0.271606,-0.000536265,-0.517559749,-0.271606,-0.000525959,-0.507613229,-0.271606,-0.00108777,-1.049827918,-0.271606,-0.00158396,-1.528710507,-0.271606,-0.00190768,-1.841138956,-0.271606,-0.00280819,-2.710238617
-0.272675,-0.000539622,-0.520799655,-0.272675,-0.000527227,-0.508837,-0.272675,-0.00109766,-1.059372949,-0.272675,-0.00158196,-1.526780269,-0.272675,-0.0019225,-1.855442025,-0.272675,-0.00281044,-2.712410136
-0.273743,-0.000542631,-0.523703699,-0.273743,-0.000529037,-0.510583866,-0.273743,-0.00110647,-1.06787565,-0.273743,-0.00158734,-1.531972611,-0.273743,-0.00192905,-1.861763557,-0.273743,-0.00281891,-2.720584697
-0.274811,-0.000545134,-0.526119393,-0.274811,-0.000534031,-0.515403672,-0.274811,-0.00111635,-1.07741103,-0.274811,-0.00159938,-1.543592648,-0.274811,-0.00194351,-1.875719184,-0.274811,-0.00282972,-2.731017638
-0.275879,-0.000547591,-0.528490691,-0.275879,-0.000542367,-0.523448908,-0.275879,-0.00113039,-1.090961306,-0.275879,-0.00161272,-1.556467341,-0.275879,-0.00196546,-1.896903554,-0.275879,-0.00284705,-2.747743157
-0.276947,-0.000550313,-0.531117746,-0.276947,-0.000550558,-0.531354201,-0.276947,-0.0011331,-1.09357678,-0.276947,-0.00161298,-1.556718272,-0.276947,-0.00198248,-1.913329886,-0.276947,-0.0028654,-2.765453097
-0.278015,-0.000553666,-0.534353792,-0.278015,-0.000557243,-0.537806024,-0.278015,-0.00113787,-1.098180399,-0.278015,-0.00162017,-1.563657481,-0.278015,-0.00200452,-1.934601118,-0.278015,-0.0028856,-2.784948509
-0.279083,-0.000557607,-0.538157327,-0.279083,-0.000558974,-0.539476645,-0.279083,-0.00114656,-1.106567287,-0.279083,-0.00163657,-1.579485439,-0.279083,-0.0020201,-1.949637678,-0.279083,-0.00290248,-2.801239724
-0.280151,-0.000562005,-0.542401922,-0.280151,-0.0005583,-0.538826155,-0.280151,-0.0011536,-1.113361727,-0.280151,-0.00165284,-1.595187931,-0.280151,-0.00203841,-1.967309014,-0.280151,-0.00292202,-2.820098157
-0.281219,-0.000566445,-0.546687052,-0.281219,-0.000559806,-0.540279625,-0.281219,-0.00115581,-1.115494641,-0.281219,-0.00165857,-1.600718065,-0.281219,-0.00205932,-1.98748966,-0.281219,-0.00294613,-2.843367186
-0.282288,-0.000570778,-0.550868915,-0.282288,-0.000561841,-0.542243643,-0.282288,-0.00116648,-1.125792465,-0.282288,-0.00165733,-1.599521317,-0.282288,-0.00207045,-1.998231439,-0.282288,-0.00296502,-2.861598291
-0.283356,-0.000574926,-0.55487223,-0.283356,-0.000566755,-0.546986239,-0.283356,-0.00117539,-1.134391679,-0.283356,-0.00166586,-1.607753785,-0.283356,-0.00208449,-2.011781715,-0.283356,-0.00298226,-2.878236949
-0.284424,-0.000579266,-0.559060848,-0.284424,-0.00057381,-0.553795157,-0.284424,-0.00117889,-1.137769597,-0.284424,-0.00168465,-1.625888379,-0.284424,-0.0020918,-2.018836738,-0.284424,-0.00300192,-2.897211196
-0.285492,-0.000583523,-0.563169361,-0.285492,-0.000579319,-0.559111999,-0.285492,-0.00117947,-1.138329366,-0.285492,-0.00169598,-1.636823181,-0.285492,-0.00209206,-2.019087669,-0.285492,-0.00302307,-2.917623471
-0.28656,-0.000587781,-0.56727884,-0.28656,-0.000583097,-0.56275822,-0.28656,-0.0011906,-1.149071145,-0.28656,-0.00169701,-1.637817254,-0.28656,-0.00210123,-2.027937814,-0.28656,-0.00303392,-2.928095017
-0.287628,-0.000591842,-0.571198189,-0.287628,-0.000582806,-0.562477371,-0.287628,-0.00119274,-1.1511365,-0.287628,-0.00170233,-1.64295169,-0.287628,-0.00210484,-2.031421895,-0.287628,-0.00304007,-2.934030501
-0.288696,-0.000595268,-0.574504688,-0.288696,-0.000582133,-0.561827845,-0.288696,-0.0012005,-1.158625827,-0.288696,-0.00171659,-1.656714292,-0.288696,-0.00211978,-2.045840779,-0.288696,-0.00306175,-2.954954289
-0.289764,-0.000598141,-0.577277476,-0.289764,-0.000584062,-0.563689561,-0.289764,-0.00121521,-1.172822733,-0.289764,-0.00173281,-1.672368529,-0.289764,-0.00213177,-2.05741256,-0.289764,-0.00307818,-2.970811201
-0.290833,-0.00060083,-0.579872683,-0.290833,-0.000587166,-0.566685291,-0.290833,-0.00122945,-1.186566033,-0.290833,-0.00174282,-1.682029374,-0.290833,-0.00214573,-2.070885627,-0.290833,-0.00308901,-2.981263444
-0.291901,-0.000603545,-0.582492982,-0.291901,-0.000591631,-0.570994549,-0.291901,-0.00123329,-1.190272091,-0.291901,-0.00174571,-1.684818569,-0.291901,-0.00216004,-2.084696485,-0.291901,-0.0031036,-2.995344536
-0.292969,-0.0006065,-0.585344909,-0.292969,-0.000599637,-0.578721295,-0.292969,-0.00123874,-1.195531992,-0.292969,-0.00176073,-1.699314662,-0.292969,-0.00217023,-2.094531052,-0.292969,-0.00310623,-2.9978828
-0.294037,-0.000609689,-0.588422675,-0.294037,-0.000605675,-0.584548686,-0.294037,-0.00124771,-1.204189113,-0.294037,-0.00177879,-1.716744718,-0.294037,-0.00218614,-2.109886101,-0.294037,-0.00310724,-2.99885757
-0.295105,-0.000613548,-0.592147071,-0.295105,-0.00061092,-0.589610737,-0.295105,-0.00125874,-1.21483438,-0.295105,-0.00179269,-1.730159878,-0.295105,-0.00218911,-2.112752506,-0.295105,-0.00312293,-3.014000294
-0.296173,-0.000618035,-0.596477562,-0.296173,-0.000615398,-0.593932542,-0.296173,-0.00125999,-1.216040779,-0.296173,-0.0017939,-1.731327672,-0.296173,-0.00221172,-2.134573855,-0.296173,-0.00314086,-3.031304884
-0.297241,-0.000622675,-0.600955716,-0.297241,-0.00061627,-0.594774126,-0.297241,-0.00127194,-1.227573956,-0.297241,-0.00180026,-1.737465831,-0.297241,-0.00222532,-2.147699479,-0.297241,-0.00315401,-3.043996204
-0.298309,-0.000627288,-0.605407811,-0.298309,-0.000618424,-0.596852993,-0.298309,-0.00128213,-1.237408522,-0.298309,-0.00182034,-1.756845429,-0.298309,-0.00224246,-2.164241625,-0.298309,-0.00316874,-3.058212413
-0.299377,-0.000631828,-0.609789453,-0.299377,-0.000621502,-0.599823631,-0.299377,-0.00128853,-1.243585286,-0.299377,-0.00183768,-1.773580599,-0.299377,-0.00225777,-2.179017603,-0.299377,-0.00318649,-3.075343282
-0.300446,-0.00063593,-0.613748373,-0.300446,-0.000624831,-0.603036513,-0.300446,-0.00129339,-1.248275767,-0.300446,-0.00184574,-1.781359461,-0.300446,-0.00226316,-2.184219597,-0.300446,-0.00320668,-3.094829043
-0.301514,-0.000639502,-0.61719578,-0.301514,-0.000631648,-0.609615732,-0.301514,-0.00130134,-1.255948466,-0.301514,-0.00184497,-1.780616319,-0.301514,-0.00228322,-2.203579891,-0.301514,-0.00322415,-3.111689678
-0.302582,-0.000642978,-0.620550535,-0.302582,-0.000637038,-0.614817725,-0.302582,-0.00130039,-1.255031602,-0.302582,-0.00185744,-1.792651358,-0.302582,-0.00229202,-2.212072942,-0.302582,-0.00324668,-3.133433818
-0.30365,-0.000646608,-0.624053918,-0.30365,-0.000641477,-0.61910189,-0.30365,-0.00130445,-1.258949987,-0.30365,-0.00187409,-1.808720596,-0.30365,-0.00230609,-2.225652172,-0.30365,-0.00327179,-3.157667966
-0.304718,-0.000650618,-0.627924047,-0.304718,-0.000647475,-0.624890676,-0.304718,-0.00131667,-1.270743746,-0.304718,-0.00188556,-1.819790515,-0.304718,-0.00231869,-2.237812676,-0.304718,-0.00328197,-3.167492881
-0.305786,-0.000654592,-0.631759431,-0.305786,-0.000649853,-0.62718573,-0.305786,-0.0013254,-1.279169238,-0.305786,-0.00188459,-1.818854349,-0.305786,-0.00232871,-2.247483173,-0.305786,-0.00329427,-3.17936385
-0.306854,-0.000658309,-0.63534678,-0.306854,-0.000652455,-0.629696971,-0.306854,-0.00133255,-1.286069842,-0.306854,-0.00189385,-1.827791355,-0.306854,-0.00234551,-2.263697178,-0.306854,-0.00331144,-3.19593495
-0.307922,-0.000661801,-0.638716977,-0.307922,-0.000656815,-0.633904892,-0.307922,-0.00134773,-1.300720354,-0.307922,-0.00191234,-1.845636412,-0.307922,-0.00235828,-2.276021753,-0.307922,-0.00332111,-3.205267654
-0.30899,-0.000664977,-0.641782196,-0.30899,-0.000659946,-0.63692668,-0.30899,-0.00136135,-1.31386528,-0.30899,-0.00192705,-1.859833319,-0.30899,-0.00237633,-2.293442158,-0.30899,-0.00334206,-3.225486905
-0.310059,-0.000668233,-0.644924625,-0.310059,-0.000665085,-0.641886429,-0.310059,-0.0013698,-1.322020539,-0.310059,-0.00193676,-1.869204628,-0.310059,-0.00239545,-2.311895241,-0.310059,-0.00336523,-3.247848722
-0.311127,-0.000672018,-0.648577602,-0.311127,-0.000670502,-0.647114481,-0.311127,-0.00137477,-1.326817182,-0.311127,-0.00193832,-1.870710214,-0.311127,-0.002416,-2.331728444,-0.311127,-0.0033756,-3.25785701
-0.312195,-0.00067572,-0.652150474,-0.312195,-0.00067317,-0.649689419,-0.312195,-0.00138539,-1.33706675,-0.312195,-0.00195397,-1.885814333,-0.312195,-0.0024432,-2.357979691,-0.312195,-0.00338433,-3.266282502
-0.313263,-0.000679463,-0.655762915,-0.313263,-0.000677794,-0.654152131,-0.313263,-0.00139555,-1.346872363,-0.313263,-0.00197396,-1.905107069,-0.313263,-0.00245673,-2.371037757,-0.313263,-0.0033953,-3.276869862
-0.314331,-0.00068288,-0.659060728,-0.314331,-0.000680793,-0.657046524,-0.314331,-0.00139875,-1.349960745,-0.314331,-0.00198799,-1.918647694,-0.314331,-0.00247168,-2.385466292,-0.314331,-0.00341248,-3.293450613
-0.315399,-0.000685513,-0.661601888,-0.315399,-0.000683382,-0.659545218,-0.315399,-0.00140814,-1.359023217,-0.315399,-0.00199444,-1.924872714,-0.315399,-0.00248828,-2.401487273,-0.315399,-0.00343125,-3.311565904
-0.316467,-0.000687531,-0.663549499,-0.316467,-0.000688112,-0.664110233,-0.316467,-0.00141772,-1.36826906,-0.316467,-0.0020033,-1.933423672,-0.316467,-0.00249459,-2.407577177,-0.316467,-0.00345242,-3.331997481
-0.317535,-0.000689526,-0.665474912,-0.317535,-0.000693396,-0.669209924,-0.317535,-0.00141713,-1.36769964,-0.317535,-0.0020205,-1.950023726,-0.317535,-0.00250738,-2.419921054,-0.317535,-0.00347775,-3.356443955
-0.318604,-0.000691851,-0.667718814,-0.318604,-0.000697954,-0.673608938,-0.318604,-0.00142201,-1.372409422,-0.318604,-0.00203184,-1.960968179,-0.318604,-0.0025088,-2.421291523,-0.318604,-0.00349156,-3.369772254
-0.319672,-0.000694937,-0.670697173,-0.319672,-0.000702565,-0.678059104,-0.319672,-0.00143434,-1.384309345,-0.319672,-0.00202978,-1.958980034,-0.319672,-0.00252141,-2.433461679,-0.319672,-0.00350154,-3.379404146
-0.32074,-0.000698692,-0.674321196,-0.32074,-0.00070633,-0.681692778,-0.32074,-0.00143275,-1.382774805,-0.32074,-0.00202944,-1.958651893,-0.32074,-0.00252816,-2.439976235,-0.32074,-0.00351206,-3.389557202
